This file contains the S&P 500 straddle returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,,,,,,,
The dates are in YYYYMMDD format,,,,,,,,,,,,
r_K^{straddle} gives the daily return of a long constant-maturity at the money straddle strategy with target maturity K months,,,,,,,,,,,,
r_K^{short straddle} gives the daily return of a short straddle strategy assuming a margin requirement equal to 20% of the current S&P 500 index level,,,,,,,,,,,,
Returns are in percent,,,,,,,,,,,,
,,,,,,,,,,,,
Date,r_1^{straddle},r_2^{straddle},r_3^{straddle},r_6^{straddle},r_9^{straddle},r_12^{straddle},r_1^{short straddle},r_2^{short straddle},r_3^{short straddle},r_6^{short straddle},r_9^{short straddle},r_12^{short straddle}
19960430,0.88,1.638,0.865,-0.176,-0.116,0,-0.131,-0.358,-0.234,0.068,0.056,0
19960501,-0.625,-0.061,0.82,0.778,0.485,0.288,0.096,0.014,-0.224,-0.3,-0.232,-0.161
19960502,8.72,5.667,5.204,2.126,0.69,0.444,-1.346,-1.269,-1.419,-0.829,-0.333,-0.249
19960503,-9.603,-6.863,-5.199,-2.775,-1.464,-0.013,1.61,1.679,1.534,1.151,0.733,0.007
19960506,-5.725,-1.269,-1.036,-0.61,-0.119,-0.07,0.9,0.292,0.292,0.247,0.06,0.041
19960507,-1.466,-0.415,-0.34,-0.477,-0.673,-1.756,0.231,0.098,0.098,0.194,0.341,1.031
19960508,4.654,0.844,1.758,2.733,1.54,0.239,-0.748,-0.203,-0.518,-1.127,-0.779,-0.139
19960509,4.107,2.226,1.321,0.359,0.49,0.243,-0.611,-0.505,-0.368,-0.147,-0.244,-0.137
19960510,2.875,0.577,0.559,0.209,-0.194,0.105,-0.454,-0.135,-0.158,-0.086,0.097,-0.06
19960513,8.001,6.116,3.902,-0.358,-0.046,0.886,-1.138,-1.345,-1.07,0.14,0.022,-0.498
19960514,2.235,-0.772,-0.941,0.356,0.452,-0.128,-0.341,0.165,0.247,-0.135,-0.216,0.071
19960515,1.283,2.36,2.165,1.916,1.54,1.81,-0.201,-0.503,-0.563,-0.727,-0.736,-0.992
19960516,-2.263,-1.881,-1.074,-0.529,-0.35,-1.489,0.364,0.414,0.287,0.205,0.17,0.832
19960517,0.759,1.015,0.353,0.197,0.738,0.223,-0.121,-0.222,-0.094,-0.076,-0.358,-0.123
19960520,8.094,2.09,1.102,0.927,0.015,-0.193,-1.2,-0.449,-0.291,-0.359,-0.007,0.105
19960521,2.776,0,0,0.589,1.411,1.385,-0.428,0,0,-0.222,-0.657,-0.747
19960522,1.22,0,0,-0.41,-2.913,-1.799,-0.196,0,0,0.156,1.379,0.985
19960523,3.681,0,0,0.537,1.956,2.128,-0.553,0,0,-0.202,-0.893,-1.137
19960524,-5.684,-0.567,3.18,0.836,0.781,-0.019,0.901,0.129,-0.888,-0.319,-0.366,0.011
19960528,2.691,-1.852,-3.329,0.958,1.324,-0.311,-0.408,0.421,0.958,-0.368,-0.624,0.17
19960529,-2.607,0.504,0.293,0.591,0.242,0.419,0.435,-0.12,-0.085,-0.235,-0.117,-0.232
19960530,-4.284,-2.635,-1.427,0.251,1.376,2.118,0.713,0.643,0.421,-0.103,-0.7,-1.197
19960531,3.767,-1.903,-1.503,-2.009,-0.404,-0.718,-0.585,0.445,0.433,0.824,0.199,0.408
19960603,0.222,-1.106,-0.901,0.479,0.269,-0.347,-0.035,0.26,0.262,-0.194,-0.137,0.198
19960604,-0.646,0,0,1.824,0.223,0.103,0.107,0,0,-0.751,-0.11,-0.059
19960605,2.541,3.569,2.743,1.339,0.058,0.378,-0.405,-0.828,-0.783,-0.558,-0.029,-0.213
19960606,2.353,0.113,0.203,0.274,0.033,1.368,-0.368,-0.026,-0.058,-0.108,-0.016,-0.769
19960607,-6.964,-3.074,-2.215,-1.232,-0.473,-2.097,1.162,0.741,0.65,0.495,0.232,1.207
19960610,-1.674,-1.758,-1.03,0.718,-0.205,0.799,0.265,0.414,0.297,-0.286,0.1,-0.451
19960611,-4.18,-1.171,-1.065,-0.495,-0.046,-0.289,0.692,0.279,0.313,0.208,0.022,0.166
19960612,-1.189,0.098,0.544,0.147,3.032,0.143,0.193,-0.023,-0.16,-0.062,-1.498,-0.082
19960613,-1.93,-1.121,-0.709,0.254,-0.138,-0.162,0.327,0.272,0.211,-0.108,0.07,0.093
19960614,-4.145,-0.703,-0.313,-1.017,-0.414,-0.175,0.705,0.174,0.094,0.435,0.212,0.101
19960617,-4.262,-3.245,-1.041,0.169,-0.151,1.504,0.734,0.81,0.319,-0.072,0.079,-0.871
19960618,-3.838,0,-0.806,-0.653,0.316,-0.451,0.705,0,0.25,0.282,-0.167,0.266
19960619,-5.091,-1.504,-1.216,-0.029,-1.195,-0.337,0.915,0.378,0.378,0.012,0.639,0.199
19960620,-2.997,-2.316,-2.412,-2.595,-1.522,0.62,0.519,0.577,0.745,1.125,0.764,-0.365
19960621,-3.216,-0.533,-1.823,-0.235,2.902,-2.464,0.55,0.135,0.553,0.1,-1.493,1.463
19960624,-4.66,-0.889,-1.286,0.445,0.56,1.214,0.753,0.209,0.375,-0.187,-0.281,-0.699
19960625,-4.642,-3.197,-2.619,-2.813,-1.162,-2.361,0.748,0.748,0.763,1.193,0.588,1.377
19960626,-4.189,-4.194,-4.887,-2.91,-1.791,-0.168,0.658,0.97,1.394,1.203,0.898,0.096
19960627,-5.522,-6.399,-5.191,-5.408,-5.37,-5.47,0.858,1.446,1.452,2.189,2.665,3.139
19960628,-3.124,-0.919,-2.035,-0.213,0.226,0.273,0.447,0.194,0.53,0.081,-0.106,-0.147
19960701,-1.938,-1.526,-0.984,0.252,0.169,-0.127,0.263,0.312,0.251,-0.093,-0.079,0.069
19960702,0.384,1.299,0.997,-1.779,-0.201,-1.332,-0.053,-0.259,-0.248,0.658,0.091,0.715
19960703,-3.938,0.193,1.32,2.023,1.664,1.838,0.562,-0.04,-0.334,-0.742,-0.776,-0.978
19960705,25.124,8.907,5.973,1.702,-1.188,-0.146,-3.521,-1.875,-1.563,-0.64,0.565,0.08
19960708,-3.209,-1.281,-1.771,0.663,0.121,4.083,0.516,0.296,0.505,-0.263,-0.059,-2.244
19960709,-3.32,-0.641,0.52,1.069,1.14,0.346,0.573,0.153,-0.149,-0.437,-0.563,-0.2
19960710,-4.884,-3.181,-2.408,-1.919,-1.496,-0.46,0.777,0.739,0.687,0.783,0.746,0.266
