date,factor,hump_value,mid_maturity,short_maturity,long_maturity
2000-09-26,gamma0,6.508792088089043e-05,6m,1m,12m
2000-09-27,gamma0,3.7436385759867394e-05,6m,1m,12m
2000-09-28,gamma0,-4.1667195459350446e-05,6m,1m,12m
2000-09-29,gamma0,4.496807010239945e-05,6m,1m,12m
2000-10-02,gamma0,4.5291699233504265e-05,6m,1m,12m
2000-10-03,gamma0,6.635008781363669e-05,6m,1m,12m
2000-10-04,gamma0,4.506255301807979e-05,6m,1m,12m
2000-10-05,gamma0,1.9589630385186564e-05,6m,1m,12m
2000-10-06,gamma0,2.203865629277398e-05,6m,1m,12m
2000-10-09,gamma0,0.00011183413255850208,6m,1m,12m
2000-10-10,gamma0,0.00013136562259021253,6m,1m,12m
2000-10-11,gamma0,0.0001857651988506843,6m,1m,12m
2000-10-12,gamma0,0.00030123237646184013,6m,1m,12m
2000-10-13,gamma0,0.00019131325954164694,6m,1m,12m
2000-10-18,gamma0,0.00025480776777800503,6m,1m,12m
2000-10-19,gamma0,0.0001173402858307459,6m,1m,12m
2000-10-20,gamma0,9.14182297755261e-05,6m,1m,12m
2000-10-23,gamma0,8.93869595363604e-05,6m,1m,12m
2000-10-24,gamma0,0.00011581964176945366,6m,1m,12m
2000-10-25,gamma0,0.00019284358304358018,6m,1m,12m
2000-10-26,gamma0,0.00025313691901490877,6m,1m,12m
2000-10-27,gamma0,0.00018895516603028884,6m,1m,12m
2000-10-30,gamma0,0.00016644280338369268,6m,1m,12m
2000-10-31,gamma0,0.00010434627879629498,6m,1m,12m
2000-11-01,gamma0,0.00012586346575370048,6m,1m,12m
2000-11-02,gamma0,0.00013148243175970214,6m,1m,12m
2000-11-03,gamma0,0.00010233799072716167,6m,1m,12m
2000-11-06,gamma0,0.00012080221075576809,6m,1m,12m
2000-11-07,gamma0,0.00012084289365865819,6m,1m,12m
2000-11-08,gamma0,0.00017892893611801223,6m,1m,12m
2000-11-09,gamma0,0.00023456598087287742,6m,1m,12m
2000-11-10,gamma0,0.00025814949331617773,6m,1m,12m
2000-11-15,gamma0,0.00013063042492946026,6m,1m,12m
2000-11-16,gamma0,0.00010330184923778925,6m,1m,12m
2000-11-17,gamma0,8.211206770405809e-05,6m,1m,12m
2000-11-20,gamma0,0.00017582591271886937,6m,1m,12m
2000-11-21,gamma0,0.0001382785403694778,6m,1m,12m
2000-11-22,gamma0,0.00013107674661510182,6m,1m,12m
2000-11-24,gamma0,8.55628623832164e-05,6m,1m,12m
2000-11-27,gamma0,0.00015978812778193695,6m,1m,12m
2000-11-28,gamma0,0.00014346628409949452,6m,1m,12m
2000-11-29,gamma0,0.0001383703842996441,6m,1m,12m
2000-11-30,gamma0,0.00020802132664418183,6m,1m,12m
2000-12-01,gamma0,0.00013184862481263615,6m,1m,12m
2000-12-04,gamma0,0.0001455447520544079,6m,1m,12m
2000-12-05,gamma0,1.8394183245518233e-05,6m,1m,12m
2000-12-06,gamma0,9.817891366123689e-05,6m,1m,12m
2000-12-07,gamma0,0.00011106994340813863,6m,1m,12m
2000-12-08,gamma0,0.00014947373352012917,6m,1m,12m
2000-12-20,gamma0,0.0002923122227650677,6m,1m,12m
2000-12-21,gamma0,0.00019453159813259056,6m,1m,12m
