year-to-month,approx.1m,approx.2m,approx.3m,approx.6m,approx.12m
2005-01,0.026554048648285714,0.027992145596578977,0.024713662003946927,0.02920235734535359,0.032007223620762006
2005-02,0.03780504636564478,0.029061795088354034,0.029904014135409492,0.031628957768704766,0.03325771069035397
2005-03,0.03449537888611987,0.032452586228738235,0.03150925144946122,0.033932705427553424,0.03575549137853448
2005-04,0.03008330456877778,0.03265645575488548,0.03067919006377194,0.03481926238216601,0.03704790114843431
2005-05,0.034153823345580266,0.030754292770645498,0.034832021290593,0.03579505805876571,0.037398528464391345
2005-06,0.040732248131002194,0.03556625387856177,0.03650672256893145,0.037684970657102704,0.03805697842083554
2005-07,0.037243391794127056,0.03698485915914356,0.03712945848225136,0.03947424271150671,0.041037711352402376
2005-08,0.04088367324008681,0.03750719379068912,0.03951779630142674,0.04084199991779361,0.042318800327340735
2005-09,0.037366208761376876,0.036143919929346416,0.03995495377012411,0.04217438968993238,0.04141870633599411
2005-10,0.05044271671256316,0.04279977101624958,0.042002858839482335,0.0445090522764974,0.045980058028856054
2005-11,0.044950048391772704,0.04280852574248157,0.0437466262042918,0.04579914600635326,0.047077784992002644
2005-12,0.04774132389965777,0.04720067055263508,0.04646531078459325,0.04820860200645822,0.04843950273056805
2006-01,0.04793107551610449,0.04796925610247737,0.04293528485790629,0.04816524552940289,0.04874052584283092
2006-02,0.05101885716668447,0.04833037114168537,0.04850777049309928,0.049042055377099686,0.0503993928678573
2006-03,0.05115677139419083,0.05013571155255364,0.05157222128621519,0.05158226563509921,0.051737857353119816
2006-04,0.05411838357210398,0.05293522330597671,0.05266677142921802,0.053216886699264145,0.05319696927442012
2006-05,0.05556696990942096,0.05203183188882046,0.05249294319445799,0.053098600984071244,0.05371479994213014
2006-06,0.05405065628815444,0.05423745191644975,0.055075652640090934,0.05625899009806882,0.055536177609825745
2006-07,0.05990290013172328,0.05678322173852959,0.05379325979394996,0.0569767625839237,0.056533374949585574
2006-08,0.055116902072968404,0.05506059380782044,0.05456331730759936,0.05473005051237604,0.05497524417186356
2006-09,0.05177610471879324,0.05271461335421677,0.05484022264994455,0.05400882405704172,0.05448150022878328
2006-10,0.05257203132641175,0.05450862694307136,0.054972117941060064,0.05401513286788642,0.05392421193097658
2006-11,0.059163164517038735,0.05473942321743043,0.055650318854149804,0.05431687261462076,0.05350736691543478
2006-12,0.05458447156866063,0.054577780824000874,0.05456147574401001,0.053671167927970075,0.0523493484955923
2007-01,0.053368631191945716,0.05433066618268938,0.042049171715025625,0.053687464314753644,0.053760719590215944
2007-02,0.05956161682852998,0.05523975973681074,0.05481576183440286,0.05439975513830778,0.05433345289712268
2007-03,0.05933745671500708,0.055592675899592284,0.05594691402655521,0.054234435351403064,0.053284357617806456
2007-04,0.0570261655828093,0.05551096365781949,0.05631108211381541,0.053801333914394844,0.053135409520004166
2007-05,0.05346117893276637,0.05373503422496974,0.0541197094390472,0.053645790861784476,0.05400974865033015
2007-06,0.055686013091341156,0.053877904509411205,0.05463890027444442,0.05430117891702252,0.05451836852389048
2007-07,0.059144308056085726,0.05480238125325506,0.054500240475836244,0.054088885241532825,0.05409626775661255
2007-08,0.056441155207319266,0.05511276965190831,0.054452100721211524,0.05341411927431684,0.0515620545017249
2007-09,0.055845316083699366,0.0542624122709123,0.055656041197408815,0.052258230398144895,0.05028750774933312
2007-10,0.0476541139374143,0.04965626818862642,0.04877289156560995,0.04859804632012106,0.046978073397865645
2007-11,0.04678695746411862,0.048777523541406846,0.048395503334415536,0.04630316816873924,0.043261250098276645
2007-12,0.049665278762977605,0.0487224514526078,0.046928804243039454,0.04534256799887723,0.042457204109916366
2008-01,0.0471881523156412,0.03714064717964237,0.03827629594415959,0.0352057695185712,0.033162684971330986
2008-02,0.03205634677317965,0.0314805269863142,0.029837837572355468,0.02872818945853142,0.02722488704866333
2008-03,0.03246161384647388,0.027275198196534806,0.027396204069187843,0.024882570922516802,0.024416414593584297
2008-04,0.027402241743059448,0.027447121055781436,0.026527113977894444,0.02689906896174265,0.025094064072399752
2008-05,0.028679485277900933,0.026759533503865153,0.0256677626556582,0.02629335544695847,0.027313778069661097
2008-06,0.03206654744984607,0.02730550001776252,0.026802088252778387,0.028529736378058713,0.03063460180032635
2008-07,0.03191102308643648,0.027457291188095187,0.027322666935400548,0.028407436891391042,0.02973103355307579
2008-08,0.027407648430879537,0.025900581580281124,0.02688380922147679,0.028102882925262498,0.02882955717394826
2008-09,0.029630454462813094,0.02640859041489785,0.02698578724358286,0.029104220985718177,0.02843283088996227
2008-10,0.04194034851462379,0.034010722750063914,0.032411738495560755,0.028548539309030223,0.026223956623011826
2008-11,0.020831817142919682,0.020400045916652777,0.01939901714388561,0.019778665040225903,0.020223726177439193
2008-12,0.021082223441969177,0.01563690665718491,0.017189616550539716,0.013465219260728543,0.01612305224456915
2009-01,0.015307368310375657,0.010631559559496826,0.011909654651446357,0.01038680152610166,0.01044481379700532
2009-02,0.014078537376194076,0.010268944388235834,0.010283706454450984,0.0106851984606287,0.012146972779338065
2009-03,0.010060255283088184,0.00963011776183416,0.010717822369725332,0.011296838468608076,0.011924580088560795
2009-04,0.009028852252861562,0.00804905709018447,0.009334221831549975,0.010073011211251693,0.010836668818841814
2009-05,0.007005617552033475,0.006952794863697987,0.006982522190763489,0.007383416302790042,0.008000054584719907
2009-06,0.01037559727959353,0.006861665902229497,0.006771845516391808,0.007067993685295506,0.008620406012131194
2009-07,0.004405926958477987,0.005455731274747392,0.005294964900106186,0.005834289823237915,0.007481259462339743
2009-08,0.003245978310190053,0.004458690783114094,0.004048928848548896,0.005152416771667774,0.006213550549894833
2009-09,0.00482204406794382,0.0035295879078709506,0.0040724459776722505,0.0041484229438095155,0.0046144396473186185
2009-10,0.00229309551959435,0.0036105367669600954,0.003473127817391013,0.004174735078570411,0.005724053411622692
2009-11,0.006729868693453815,0.0031200542861365716,0.0031995983373956332,0.003743975963783559,0.004223472754324004
2009-12,0.0028670450828448884,0.0029846064411854305,0.003213042741311638,0.004311590165678309,0.005440837994053861
2010-01,0.003572109074664965,0.0027754646927096215,0.002666388689315487,0.0031491263003053456,0.00445661465795579
2010-02,0.0025802585161534427,0.003760934020423512,0.003240527940991238,0.00290014497488004,0.0041948798240714754
2010-03,0.005501466070992272,0.003583839293148429,0.0034113361756973287,0.0038305964072794284,0.004393975991812934
2010-04,0.0014335739958219488,0.0021732495010276017,0.003196368745772541,0.003908663007292257,0.004999371152683717
2010-05,0.006344217954090473,0.00523089293753933,0.00466031423085815,0.0057501442750260865,0.00701900121811338
2010-06,0.006118815981808935,0.004042677353533281,0.005313599759958923,0.006259415739399102,0.007352907420384516
2010-07,0.0036244904150671063,0.0042965758447274845,0.0044154559526948895,0.004807444387504726,0.005634923337929083
2010-08,0.004504608488091663,0.004712143722598081,0.003793388903788831,0.004191704046432647,0.004286431552474946
2010-09,0.005380939751905284,0.003672497870227864,0.0034163509364022694,0.003971174014381732,0.004254593138155343
2010-10,0.0016519481518883934,0.0027836762232511412,0.0024907099591875525,0.003553713581761533,0.00444826803673933
2010-11,0.0022013013886298567,0.002114211152884663,0.002641726797518169,0.003314656242618829,0.004500858596299924
2010-12,0.0010305344143819646,0.002208485251719289,0.003979556413514348,0.0038661181936157944,0.004920550829003967
2011-01,0.0008939203210596339,0.0018029484584808516,0.0029435882307446656,0.003495234783471783,0.004052258659610664
2011-02,0.001894004841493462,0.002889624538503885,0.0022130456563922234,0.003981528418919914,0.0036625336507841947
2011-03,0.0032215213928567157,0.004146863500288931,0.0038973570358167785,0.0038169748457549182,0.0037810086886909083
2011-04,0.00148480787729768,0.0026372555922862186,0.0026049573740199684,0.0035124449566612016,0.0034526964636168844
2011-05,0.007064886827656748,0.004298346045741822,0.003965849578699199,0.00414751454147739,0.004172074996365359
2011-06,0.005542427694104219,0.004149092398098384,0.005150187279529258,0.004424346981977712,0.0043036316499793625
2011-07,0.006186162479145231,0.004647463535462604,0.00431895694520796,0.004519641409598851,0.004857055019783235
2011-08,0.005147232175309406,0.004623320440326935,0.00439801124332497,0.003921212573447399,0.004223701268486415
2011-09,0.005845756714664866,0.0044843683007268105,0.004555572597319753,0.004322308880920413,0.004325652222190393
2011-10,0.0031497819554353484,0.004814692509240546,0.005083950658041346,0.005153080222176396,0.005250964595914289
2011-11,0.005599017721825293,0.004632041046354147,0.004638321136809713,0.005015574727106264,0.006532362561765059
2011-12,0.00823277991448638,0.006556088572160226,0.005977451806467331,0.006258502016276817,0.006270807994425696
2012-01,0.010512108102917205,0.004635963812670519,0.004414235118335732,0.0052755536484863485,0.00517498639574972
