date,factor,long_maturity,short_maturity,spread,spread_label
2000-03-24,gamma0,12m,6m,0.009865694133077668,gamma0__12m__6m
2000-03-27,gamma0,6m,1m,0.0074370905832655265,gamma0__6m__1m
2000-03-27,gamma0,12m,1m,0.0077704651445597295,gamma0__12m__1m
2000-03-27,gamma0,12m,6m,0.00033337456129420295,gamma0__12m__6m
2000-03-28,gamma0,6m,1m,0.00415732572774144,gamma0__6m__1m
2000-03-28,gamma0,12m,1m,0.006590620467854885,gamma0__12m__1m
2000-03-28,gamma0,12m,6m,0.0024332947401134453,gamma0__12m__6m
2000-03-29,gamma0,6m,1m,0.0060418714805978435,gamma0__6m__1m
2000-03-29,gamma0,12m,1m,0.009804865477870461,gamma0__12m__1m
2000-03-29,gamma0,12m,6m,0.003762993997272618,gamma0__12m__6m
2000-03-30,gamma0,6m,1m,-0.002700577752841077,gamma0__6m__1m
2000-03-30,gamma0,12m,1m,0.000407132029061702,gamma0__12m__1m
2000-03-30,gamma0,12m,6m,0.003107709781902779,gamma0__12m__6m
2000-03-31,gamma0,6m,1m,0.004958910521972282,gamma0__6m__1m
2000-03-31,gamma0,12m,1m,0.006122346012123359,gamma0__12m__1m
2000-03-31,gamma0,12m,6m,0.0011634354901510768,gamma0__12m__6m
2000-04-03,gamma0,6m,1m,0.006555982413005895,gamma0__6m__1m
2000-04-03,gamma0,12m,1m,0.011107736191157874,gamma0__12m__1m
2000-04-03,gamma0,12m,6m,0.004551753778151979,gamma0__12m__6m
2000-04-04,gamma0,6m,1m,-0.007142402623998512,gamma0__6m__1m
2000-04-04,gamma0,12m,1m,-0.00365543545693367,gamma0__12m__1m
2000-04-04,gamma0,12m,6m,0.0034869671670648417,gamma0__12m__6m
2000-04-05,gamma0,6m,1m,-0.02726234358301144,gamma0__6m__1m
2000-04-05,gamma0,12m,1m,-0.020118065721617895,gamma0__12m__1m
2000-04-05,gamma0,12m,6m,0.007144277861393544,gamma0__12m__6m
2000-04-06,gamma0,6m,1m,-0.01789768814030271,gamma0__6m__1m
2000-04-06,gamma0,12m,1m,-0.010920238985535957,gamma0__12m__1m
2000-04-06,gamma0,12m,6m,0.006977449154766752,gamma0__12m__6m
2000-04-07,gamma0,6m,1m,-0.002581474746475493,gamma0__6m__1m
2000-04-07,gamma0,12m,1m,0.0028913793184827397,gamma0__12m__1m
2000-04-07,gamma0,12m,6m,0.0054728540649582325,gamma0__12m__6m
2000-04-10,gamma0,6m,1m,-0.015750166756877876,gamma0__6m__1m
2000-04-10,gamma0,12m,1m,-0.010899582399008567,gamma0__12m__1m
2000-04-10,gamma0,12m,6m,0.004850584357869309,gamma0__12m__6m
2000-04-11,gamma0,6m,1m,-0.019925410769593754,gamma0__6m__1m
2000-04-11,gamma0,12m,1m,-0.017976689056171252,gamma0__12m__1m
2000-04-11,gamma0,12m,6m,0.0019487217134225021,gamma0__12m__6m
2000-04-12,gamma0,6m,1m,-0.03256936518670733,gamma0__6m__1m
2000-04-12,gamma0,12m,1m,-0.03210337221618442,gamma0__12m__1m
2000-04-12,gamma0,12m,6m,0.00046599297052291044,gamma0__12m__6m
2000-04-13,gamma0,6m,1m,-0.037723115755136594,gamma0__6m__1m
2000-04-13,gamma0,12m,1m,-0.038311896389235656,gamma0__12m__1m
2000-04-13,gamma0,12m,6m,-0.000588780634099062,gamma0__12m__6m
2000-04-14,gamma0,6m,1m,-0.0637130911527749,gamma0__6m__1m
2000-04-14,gamma0,12m,1m,-0.06306036080818822,gamma0__12m__1m
2000-04-14,gamma0,12m,6m,0.0006527303445866828,gamma0__12m__6m
2000-04-17,gamma0,12m,6m,0.004242702739154031,gamma0__12m__6m
2000-04-18,gamma0,12m,6m,0.002951493100037811,gamma0__12m__6m
2000-04-19,gamma0,6m,1m,-0.02057429796183441,gamma0__6m__1m
2000-04-19,gamma0,12m,1m,-0.017774539763255298,gamma0__12m__1m
2000-04-19,gamma0,12m,6m,0.002799758198579111,gamma0__12m__6m
2000-04-20,gamma0,6m,1m,-0.009828241821046552,gamma0__6m__1m
2000-04-20,gamma0,12m,1m,-0.007593707698410307,gamma0__12m__1m
2000-04-20,gamma0,12m,6m,0.0022345341226362447,gamma0__12m__6m
2000-04-24,gamma0,6m,1m,-0.02383649203792465,gamma0__6m__1m
2000-04-24,gamma0,12m,1m,-0.019906269453784764,gamma0__12m__1m
2000-04-24,gamma0,12m,6m,0.003930222584139886,gamma0__12m__6m
2000-04-25,gamma0,6m,1m,-0.01277095087522559,gamma0__6m__1m
2000-04-25,gamma0,12m,1m,-0.008244521229861385,gamma0__12m__1m
2000-04-25,gamma0,12m,6m,0.004526429645364205,gamma0__12m__6m
2000-04-26,gamma0,6m,1m,-0.02387895223116515,gamma0__6m__1m
2000-04-26,gamma0,12m,1m,-0.022187446346693812,gamma0__12m__1m
2000-04-26,gamma0,12m,6m,0.0016915058844713393,gamma0__12m__6m
2000-04-27,gamma0,6m,1m,-0.021550499767995945,gamma0__6m__1m
2000-04-27,gamma0,12m,1m,-0.017887256300102294,gamma0__12m__1m
2000-04-27,gamma0,12m,6m,0.003663243467893651,gamma0__12m__6m
2000-04-28,gamma0,6m,1m,-0.020145775134838506,gamma0__6m__1m
2000-04-28,gamma0,12m,1m,-0.01815386346946765,gamma0__12m__1m
2000-04-28,gamma0,12m,6m,0.0019919116653708546,gamma0__12m__6m
2000-05-01,gamma0,6m,1m,-0.022141790330519245,gamma0__6m__1m
2000-05-01,gamma0,12m,1m,-0.019750992890802094,gamma0__12m__1m
2000-05-01,gamma0,12m,6m,0.0023907974397171516,gamma0__12m__6m
2000-05-02,gamma0,6m,1m,-0.040979280640728866,gamma0__6m__1m
2000-05-02,gamma0,12m,1m,-0.04022609715090339,gamma0__12m__1m
2000-05-02,gamma0,12m,6m,0.0007531834898254763,gamma0__12m__6m
2000-05-03,gamma0,6m,1m,-0.05230879320826312,gamma0__6m__1m
2000-05-03,gamma0,12m,1m,-0.05277410038626568,gamma0__12m__1m
2000-05-03,gamma0,12m,6m,-0.0004653071780025553,gamma0__12m__6m
2000-05-04,gamma0,6m,1m,-0.042695706055143834,gamma0__6m__1m
2000-05-04,gamma0,12m,1m,-0.04524124705826224,gamma0__12m__1m
