asset,maturity,horizon,predictor,is_alpha,is_beta1,is_beta2,is_beta3,is_t_alpha,is_t_beta1,is_t_beta2,is_t_beta3,is_p_alpha,is_p_beta1,is_p_beta2,is_p_beta3,is_r_squared,is_n_obs,is_contango_intercept,is_contango_slope,is_backwardation_intercept,is_backwardation_slope,y_benchmark_in_sample,n_out_of_sample,r2_out_of_sample,clark-west_statistic,clark-west_p_value,directional_accuracy,directional_accuracy_n_correct,directional_accuracy_n_total,directional_accuracy_p_value,error present,N_is,N_obs
straddle,4m,daily,gamma1__12m__6m,-0.00034185022516110476,-0.08863179288584502,-0.0011801942991935262,0.08457562972679729,-0.4113344566466796,-0.5471526468489633,-1.2149580954264811,0.4676204504013778,0.6808273071253232,0.5842738654801203,0.22438207423675915,0.6400560377420488,0.00046845327533806547,3861.0,-0.00034185022516110476,-0.08863179288584502,-0.0015220445243546309,-0.004056163159047735,-0.0012782005157783991,2370.0,0.0007298927358625473,1.2504260149472382,0.10557198314302552,0.570042194092827,1351.0,2370.0,4.879023670358035e-12,,,
straddle,4m,daily,gamma1__6m__1m,0.0034952420788111173,-0.9851213471842204,-0.003008590841672748,1.1400338559465875,1.280598884229521,-1.2695070788826812,-1.0756383863460766,1.4654856089928838,0.20033459212463378,0.2042602673988213,0.28208901281194054,0.14278847583845516,0.004587627794421678,3443.0,0.0034952420788111173,-0.9851213471842204,0.0004866512371383691,0.15491250876236706,-0.0012251664835835363,2370.0,-0.001772888669861361,0.8557774547435446,0.19606044399056027,0.5341772151898734,1266.0,2370.0,0.0004693364797150615,,,
straddle,4m,daily,gamma2__12m__1m,0.0008798987696731037,0.0938814442892322,-0.0009508319703128723,0.309892643437199,0.6075579665582291,0.6571689748808577,-0.5923485249491686,1.3397472405288748,0.5434806860824959,0.5110722722212775,0.5536172281706707,0.1803275335053598,0.004783474779723185,3443.0,0.0008798987696731037,0.0938814442892322,-7.09332006397686e-05,0.4037740877264312,-0.0012251664835835363,2370.0,0.00356796100454726,2.126895299794363,0.016714391742601965,0.5535864978902953,1312.0,2370.0,9.873903881125381e-08,,,
straddle,4m,daily,gamma2__12m__6m,-0.000227955890941039,0.018675337300555647,-0.001616524124627428,-0.043783999632751654,-0.3364298098615618,0.14710705486840922,-1.9834210323003207,-0.23868331013115673,0.7365467732049338,0.8830475214836224,0.0473204197318313,0.8113511593466876,0.0013690752858223076,3861.0,-0.000227955890941039,0.018675337300555647,-0.001844480015568467,-0.025108662332196007,-0.0012782005157783991,2370.0,0.0024183799406827244,2.288772999488767,0.01104627252038265,0.5721518987341773,1356.0,2370.0,1.1376663412911845e-12,,,
straddle,4m,daily,gamma2__6m__1m,-0.0016950981808061115,0.3510043685849217,0.001513391299615162,0.08295301501329587,-1.252014197170393,1.2598694534231583,0.9663565664573234,0.21204738410544685,0.21056469076842643,0.20771645979170827,0.33386578980732384,0.8320700675869085,0.002161696702846383,3443.0,-0.0016950981808061115,0.3510043685849217,-0.00018170688119094943,0.43395738359821756,-0.0012251664835835363,2370.0,0.000764656038362288,0.7739105055431725,0.21949185829123352,0.5708860759493671,1353.0,2370.0,2.7391034158860827e-12,,,
straddle,4m,daily,hump_gamma0,-0.0018511744809064953,10.41427175446149,0.0029128703724034164,17.938740321075638,-1.790424512148896,1.6548930175363399,2.202544554242338,1.9528604317811122,0.07338569265605421,0.09794620088832234,0.02762686554450506,0.050836135394108285,0.00649283813571222,3443.0,-0.0018511744809064953,10.41427175446149,0.001061695891496921,28.35301207553713,-0.0012251664835835363,2370.0,-0.015732752047169063,0.1910253276571951,0.42425287496545033,0.5721518987341773,1356.0,2370.0,1.1376663412911845e-12,,,
straddle,4m,daily,hump_gamma1,-7.94121806160305e-05,-16.37653833817056,-0.001307770888670257,0.8250472359906249,-0.12794059586083376,-2.298895303152569,-0.925139590845015,0.02479449641315243,0.8981959841701225,0.02151088518536487,0.3548933014733979,0.980218880936537,0.002286092483358426,3443.0,-7.94121806160305e-05,-16.37653833817056,-0.0013871830692862874,-15.551491102179934,-0.0012251664835835363,2370.0,-0.004352743265268577,-1.0421372560978714,0.8513259761176288,0.5637130801687764,1336.0,2370.0,2.9883815285994404e-10,,,
straddle,4m,daily,hump_gamma2,-0.0011658147860852607,-5.521843347437059,0.00031018452155119776,9.252844666800542,-2.236168838243957,-0.2919808666476049,0.27274951753671256,0.35136936295225346,0.025340713613142458,0.7703012530667475,0.7850457677649508,0.7253112637437866,8.699219882046805e-05,3443.0,-0.0011658147860852607,-5.521843347437059,-0.000855630264534063,3.7310013193634823,-0.0012251664835835363,2370.0,-0.0009410911751412954,-1.3884557087176241,0.9175008386004257,0.570042194092827,1351.0,2370.0,4.879023670358035e-12,,,
straddle,4m,weekly,gamma0__12m__1m,-0.004629389492745884,-0.09843460255723385,-0.002835551475927507,-0.15397079374632353,-1.4907001391087735,-1.0773959252119778,-0.5101095893570433,-0.9712933779736178,0.13604023955970623,0.2813034237669203,0.6099746874171901,0.3314022054324929,0.02031717434879965,3224.0,-0.004629389492745884,-0.09843460255723385,-0.007464940968673391,-0.2524053963035574,-0.004865506304180507,2307.0,0.01919074660937048,1.5645794377228448,0.05884077667419243,0.5692640692640693,263.0,462.0,0.001667388927616976,,,
straddle,4m,weekly,gamma0__12m__6m,-0.004968360166274076,-0.14593160933039678,-0.007789810322990925,-0.7223466774064128,-1.7470534674939653,-0.5456620196721836,-1.5456556736825378,-1.2079769561358447,0.08062806395658159,0.5852982838944472,0.12218774779410958,0.22705612627577387,0.00912707188798978,3555.0,-0.004968360166274076,-0.14593160933039678,-0.012758170489265001,-0.8682782867368095,-0.00576793651818163,2307.0,0.013152975949784262,1.617978372770182,0.05283362930311805,0.577922077922078,267.0,462.0,0.00046785707256990355,,,
