This file contains the synthetic VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The dates are in YYYYMMDD format,,,,,,
r_K^{var. swap} gives the daily return of a constant-maturity variance swap with target maturity K months,,,,,,
Returns are in percent,,,,,,
,,,,,,
Date,r_1^{var. swap},r_2^{var. swap},r_3^{var. swap},r_6^{var. swap},r_9^{var. swap},r_12^{var. swap}
19960723,17.56,11.057,8.214,2.919,3.96,5.591
19960724,-9.838,-1.059,1.609,3.949,1.46,-1.253
19960725,-13.877,-9.712,-5.096,-2.899,0.209,3.513
19960726,-17.167,-11.473,-4.251,-6.233,-3.211,-0.969
19960729,29.086,16.435,6.092,8.993,5.92,-0.547
19960730,-0.827,-1.629,9.415,-0.075,2.63,7.081
19960731,-6.929,-5.539,-3.698,-3.057,-3.091,-2.436
19960801,2.675,-0.521,3.771,-4.651,-2.996,0.703
19960802,-6.09,-5.566,-0.288,-3.118,-2.092,-1.141
19960805,-4.255,1.458,1.231,1.31,0.963,-1.452
19960806,-5.702,-2.443,-0.449,-1.763,-0.999,0.132
19960807,-10.811,-5.5,-3.564,-2.025,-2.276,-2.097
19960808,-10.737,-4.594,-2.589,-0.645,-0.397,-0.079
19960809,-9.345,-0.571,0.153,-0.292,0.154,-0.349
19960812,-9.106,-8.763,-8.349,-5.338,-3.87,-2.875
19960813,7.666,4.888,4.576,4.073,3.006,2.048
19960814,-7.445,-4.172,-2.944,-1.535,-1.882,-1.686
19960815,-7.128,-3.027,-1.882,-0.407,0.413,0.364
19960816,-6.243,-9.093,-7.272,-4.47,-3.372,-2.018
19960819,-6.536,-1.799,-1.48,-2.046,-1.337,-0.713
19960820,-9.008,-5.071,-2.97,-0.231,-0.426,-0.898
19960821,-9.827,-1.687,-1.9,-0.951,0.001,0.266
19960822,-5.403,-11.353,-7.906,-4.403,-3.549,-2.711
19960823,2.484,7.011,5.62,2.051,0.802,0.957
19960826,4.379,10.449,5.548,4.662,3.718,1.908
19960827,-5.234,-2.029,-2.138,-1.774,0.104,1.213
19960828,-4.051,-0.388,0.888,1.048,-0.128,-0.097
19960829,16.932,7.864,8.305,5.66,3.572,4.478
19960830,8.732,7.809,8.989,3.727,2.506,-0.402
19960903,0.575,-2.227,-1.956,-1.262,1.561,1.645
19960904,-2.002,0.419,-0.335,2.496,0.698,0.836
19960905,20.934,15.659,12.433,4.322,1.052,1.386
19960906,-22.664,-17.285,-11.85,-7.312,-4.147,-4.143
19960909,-10.321,-10.751,-7.535,-2.948,-1.313,-0.215
19960910,-6.015,-1.55,-2.255,-2.214,-0.977,-0.878
19960911,-4.305,-0.699,-1.42,-1.283,0.495,0.514
19960912,2.71,-0.111,0.643,0.496,-1.732,-0.659
19960913,7.604,-4.433,-2.185,-1.279,1.477,-0.53
19960916,-4.036,-5.356,-3.444,-1.752,-4.213,-3.665
19960917,-1.4,1.556,1.563,1.907,3.358,3.419
19960918,0.443,1.484,3.388,0.683,2.132,1.204
19960919,-5.657,-4.199,-2.038,-1.335,-0.157,-0.225
19960920,-6.713,-4.327,-4.054,-2.079,-1.585,-1.297
19960923,3.666,0.244,1.895,0.197,0.352,1.024
19960924,-7.755,-0.055,-0.428,3.398,-0.82,0.175
19960925,-3.945,-2.66,-1.499,-1.926,1.882,0.53
19960926,-3.559,-3.165,-1.039,2.964,-1.852,-1.256
19960927,-8.353,-2.156,-1.241,-2.158,0.56,0.367
19960930,0.292,-0.218,-1.383,1.836,2.914,1.988
19961001,-2.254,-2.713,-0.723,-1.572,-0.874,-1.174
19961002,-2.805,-1.967,-2.021,-4.206,-2.774,0.075
19961003,-1.153,0.282,-1.094,1.228,0.855,0.84
19961004,-12.65,-12.285,-7.097,-7.864,-3.053,-2.453
19961007,-5.048,-3.419,-3.452,-0.738,-1.014,-0.989
19961008,-0.068,3.796,3.249,2.97,0.9,1.186
19961009,0.057,1.221,1.562,0.083,0.208,0.739
19961010,-3.586,-1.623,-3.936,1.801,1.386,1.046
19961011,-9.451,-6.808,0.072,-4.961,-2.386,-2.674
19961014,-7.961,-4.859,-2.651,-3.048,-1.215,1.133
19961015,4.415,1.807,-0.888,1.823,0.607,-1.252
19961016,-4.855,-3.614,-2.332,-0.744,0.122,0.258
19961017,-4.774,-0.045,4.842,-0.4,-0.254,-0.514
19961018,-2.853,-3.306,-3.774,-2.108,-0.839,-1.039
19961021,-0.748,1.948,4.735,2.131,3.076,0.777
19961022,3.53,2.866,2.916,3.125,3.497,2.651
19961023,-5.576,-3.032,-3.348,-0.721,0.984,0.157
19961024,9.266,8.078,3.529,2.594,1.809,2.9
19961025,-6.306,-2.485,0.99,0.057,-0.68,-0.354
19961028,5.448,7.27,5.299,2.038,0.492,2.533
19961029,-2.864,-2.262,-0.073,-0.481,0.71,0.857
19961030,-0.564,1.84,-0.571,0.508,0.545,0.293
19961031,-2.099,-2.667,-2.412,-0.334,-0.059,-2.043
19961101,-9.983,-2.669,0.615,-1.035,-1.182,-0.753
19961104,-8.942,-9.492,-3.828,-3.775,-1.569,-2.324
19961105,4.706,-3.282,-10.596,-2.377,-1.916,0.06
19961106,5.414,-8.26,-9.634,-4.496,-2.691,-3.668
19961107,6.111,10.584,5.194,2.959,1.278,0.916
19961108,-20.101,-1.131,-8.541,-4.964,-1.902,0.846
19961111,-17.67,-3.35,-0.228,0.263,-0.301,-1.903
19961112,-6.338,-2.534,-1.435,-0.051,0.527,0.808
19961113,-8.431,-7.806,-5.277,-2.282,-1.756,-0.863
19961114,-8.506,-9.635,-8.622,-5.427,-3.684,-2.382
19961115,7.7,5.783,4.505,2.11,0.243,-0.5
19961118,-0.672,0.136,0.498,0.981,1.051,-0.528
19961119,-2.869,-2.699,-0.332,-2.604,-1.811,2.137
19961120,8.624,7.013,8.31,6.572,4.819,0.25
19961121,-9.066,0.359,0.838,1.127,0.907,1.866
19961122,-8.208,-3.536,-2.739,-3.088,-0.626,0.928
19961125,15.144,7.473,8.84,3.901,2.353,0.222
19961126,6.149,10.41,9.27,9.922,9.376,9.107
19961127,-5.814,-1.83,-0.381,-0.2,1.055,0.868
19961129,-5.764,-2.195,-0.505,-0.552,-0.74,0.695
19961202,-6.555,0.941,1.955,1.933,2.669,1.595
19961203,14.729,14.255,9.194,4.944,6.303,9.196
19961204,-15.563,-10.499,-8.06,-3.967,-1.969,-3.819
19961205,0.464,1.97,2.858,0.93,-0.975,0.328
19961206,2.242,2.921,3.34,2.308,0.582,-0.067
19961209,-11.458,-8.591,-6.859,-4.689,-1.33,-2.396
19961210,-3.158,-2.228,-2.662,-2.493,-1.014,1.47
19961211,20.707,18.319,11.744,4.476,0.257,3.08
19961212,17.472,6.824,4.473,5.738,3.56,2.998
19961213,-2.65,0.501,1.526,4.11,1.217,-0.583
19961216,-3.743,3.817,5.589,2.827,2.089,6.265
19961217,-11.682,-7.067,-4.998,-1.594,-0.379,-2.221
19961218,-12.725,-11.77,-10.616,-6.73,-3.363,-5.735
19961219,12.07,5.142,2.932,-3.81,-3.814,-3.755
19961220,-1.003,-5.315,-3.303,0.988,1.329,3.154
19961223,-5.465,-2.807,-0.154,0.132,-1.458,0.157
19961224,-6.347,-5.187,-2.968,-3.213,0.981,0.069
19961226,-3.457,-4.519,-5.554,-1.236,-0.518,-2.019
19961227,3.936,3.841,3.156,0.054,-0.739,-2.237
19961230,-6.711,-1.496,-1.667,-0.012,1.074,0.927
19961231,17.919,16.191,10.272,6.471,3,7.216
19970102,-13.41,-5.599,1.223,-2.134,-0.623,-0.938
19970103,-1.322,-6.477,-7.743,-6.269,-3.977,-4.535
19970106,-3.344,0.694,0.22,0.446,0.615,2.406
19970107,-3.132,-5.146,-7.792,-3.608,-2.041,-1.963
19970108,7.243,0.836,1.078,0.554,-0.215,1.259
19970109,7.492,6.203,5.775,1.018,0.762,-3.02
19970110,-5.948,-3.399,-2.985,1.166,0.699,-2.206
19970113,-14.183,-0.926,4.674,-0.899,-0.349,3.692
19970114,-2.786,-1.755,-0.689,-1.58,-2.225,-4.487
19970115,1.102,-0.598,-2.354,1.199,0.388,-0.704
19970116,-1.372,-0.055,1.306,-0.499,0.395,1.846
19970117,-10.526,-4.528,1.67,-3.31,-2.163,-1.232
19970120,-9.602,-9.075,-8.531,-2.982,-1.467,-1.029
19970121,-5.904,-4.48,-3.578,-2.497,-1.631,-4.29
19970122,-9.864,-6.247,-4.374,-3.406,-2.684,-1.714
19970123,14.694,10.026,5.765,2.278,1.192,0.817
19970124,5.16,11.208,10.62,6.491,4.667,5.631
19970127,1.742,-1.242,-2.855,-1.465,-1.507,-0.764
19970128,-4.234,-0.638,5.406,1.744,-0.209,-0.396
19970129,1.142,1.455,0.453,-1.481,0.383,1.696
19970130,-1.975,-2.301,-0.638,-2.658,-1.826,-2.464
19970131,-10.009,-1.98,1.649,-0.376,0.266,0.531
19970203,-5.662,-2.14,2.435,-0.211,-0.292,-0.616
19970204,-4.847,-3.752,-1.916,-0.629,-0.392,-0.602
19970205,18.42,12.156,9.806,7.174,4.359,2.633
19970206,-10.004,-2.559,-0.16,-0.301,0.121,-0.087
19970207,-4.487,-3.123,-2.205,-0.993,-1.956,-3.093
